id, name
1,aperitif
2,appetizer
3,backyard bbq
4,breakfast
5,brunch
6,camping
7,cocktail
8,dessert
9,digestif
10,dinner
11,drink
12,drinks
13,grill
14,grill/barbecue
15,hors d'oeuvre
16,hot drink
17,house cocktail
18,lunch
19,party
20,picnic
21,vegan
22,vegetarian
23,leftovers
24,snack
25,salad
26,sandwich
27,seafood
28,pancake
29,muffin
